TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
383,21008,54.85117,-1.439948,175,0.3724015,0.1
384,21039,54.78906,-1.464844,175,0.3719387,0.1
385,21070,54.72727,-1.364935,175,0.3722525,0.1
386,21100,54.66321,-1.376943,175,0.3724796,0.1
387,21131,54.60207,-1.401809,175,0.3728187,0.1
388,21162,54.54124,-1.323454,175,0.3726006,0.1
389,21191,54.47558,-1.302057,175,0.3724883,0.1
390,21220,54.41026,-1.239744,175,0.3720582,0.1
391,21250,54.34783,-1.190537,175,0.3719521,0.1
392,21280,54.28571,-1.100765,175,0.3717709,0.1
393,21310,54.22392,-1.113232,175,0.371743,0.1
394,21340,54.16244,-1.085025,175,0.3714938,0.1
395,21370,54.10126,-0.9759493,175,0.3716859,0.1
396,21400,54.04041,-0.9078283,175,0.3712834,0.1
397,21431,53.98237,-0.9534005,175,0.3710126,0.1
398,21461,53.92211,-0.9459799,175,0.371197,0.1
399,21492,53.86466,-0.9310777,175,0.3709079,0.1
400,21522,53.805,-0.84375,175,0.3710159,0.1
401,21553,53.74813,-0.8890274,175,0.3705429,0.1
402,21584,53.69154,-0.9738806,175,0.3707615,0.1
403,21615,53.63523,-0.9193549,175,0.3702192,0.1
404,21646,53.57921,-0.845297,175,0.3704288,0.1
405,21674,53.51605,-0.8728395,175,0.3704054,0.1
406,21706,53.46305,-0.752463,175,0.3701292,0.1
407,21738,53.41032,-0.7702703,175,0.3702923,0.1
408,21770,53.35784,-0.7683824,175,0.3707094,0.1
409,21801,53.30318,-0.7933986,175,0.3704813,0.1
410,21833,53.25122,-0.7329268,175,0.3700008,0.1
411,21860,53.18735,-0.7092457,175,0.3700625,0.1
412,21890,53.13107,-0.6832525,175,0.3700577,0.1
413,21922,53.0799,-0.7590799,175,0.3702309,0.1
414,21952,53.02415,-0.7137681,175,0.3704384,0.1
415,21983,52.97108,-0.6036144,175,0.3705469,0.1
416,22014,52.91827,-0.5709134,175,0.3703322,0.1
417,22045,52.86571,-0.5191846,175,0.3705502,0.1
418,22076,52.8134,-0.4485646,175,0.3705045,0.1
419,22107,52.76134,-0.4164678,175,0.3707129,0.1
420,22136,52.70476,-0.4178571,175,0.3709048,0.1
421,22167,52.65321,-0.4619952,175,0.3712576,0.1
422,22198,52.60189,-0.3542654,175,0.3712047,0.1
423,22228,52.54846,-0.4243499,175,0.3711908,0.1
424,22259,52.49764,-0.4115566,175,0.3711926,0.1
425,22290,52.44706,-0.3423529,175,0.3714494,0.1
426,22320,52.39437,-0.3931925,175,0.3715635,0.1
427,22349,52.33958,-0.3758782,175,0.3713148,0.1
428,22376,52.28037,-0.3913551,175,0.3709644,0.1
429,22406,52.22844,-0.4044289,175,0.3710566,0.1
430,22436,52.17674,-0.3988372,175,0.370709,0.1
431,22466,52.12529,-0.3932715,175,0.3710449,0.1
432,22496,52.07407,-0.4247685,175,0.371249,0.1
433,22527,52.02541,-0.3937644,175,0.3710311,0.1
434,22557,51.97466,-0.2960829,175,0.3711786,0.1
435,22586,51.92184,-0.316092,175,0.3709361,0.1
436,22615,51.86927,-0.2626147,175,0.3702499,0.1
437,22645,51.81922,-0.1475973,175,0.3705552,0.1
438,22675,51.76941,-0.1061644,175,0.3702331,0.1
439,22704,51.71754,-0.1628702,175,0.3699403,0.1
440,22733,51.66591,-0.09204546,175,0.3694888,0.1
441,22762,51.61451,-0.05782313,175,0.3695191,0.1
442,22791,51.56335,-0.05995475,175,0.3691567,0.1
443,22820,51.51242,-0.007900678,175,0.3683841,0.1
444,22848,51.45946,0.001126126,175,0.3684665,0.1
445,22877,51.40899,0.03483146,175,0.3682775,0.1
446,22905,51.3565,-0.0280269,175,0.368549,0.1
447,22934,51.30649,-0.08389262,175,0.3686227,0.1
448,22963,51.25669,-0.06808036,175,0.3684273,0.1
449,22991,51.2049,-0.05902005,175,0.3684506,0.1
450,23020,51.15556,-0.09666666,175,0.3685292,0.1
451,23045,51.09756,-0.08980044,175,0.3686546,0.1
452,23072,51.04425,-0.1227876,175,0.3681712,0.1
453,23101,50.99559,-0.03642384,175,0.3679562,0.1
454,23130,50.94714,0.01431718,175,0.3677155,0.1
455,23159,50.8989,0.04725275,175,0.3679284,0.1
456,23188,50.85088,0.02741228,175,0.3679208,0.1
457,23215,50.79869,0.01203501,175,0.3680582,0.1
458,23244,50.75109,0.07969432,175,0.367553,0.1
459,23273,50.7037,0.1122004,175,0.3670778,0.1
460,23302,50.65652,0.1271739,175,0.3673841,0.1
461,23325,50.59653,0.137744,175,0.3671711,0.1
462,23347,50.53463,0.1590909,175,0.3673445,0.1
463,23376,50.48812,0.1565875,175,0.3672513,0.1
464,23403,50.4375,0.1584052,175,0.3668652,0.1
465,23431,50.38925,0.2526882,175,0.3671233,0.1
466,23460,50.34335,0.1641631,175,0.3673148,0.1
467,23490,50.29979,0.1680942,175,0.3669095,0.1
468,23519,50.25427,0.1826923,175,0.3663974,0.1
469,23547,50.20682,0.2420043,175,0.3662118,0.1
470,23576,50.1617,0.2734042,175,0.3665433,0.1
471,23605,50.11677,0.2707006,175,0.3661917,0.1
472,23634,50.07203,0.3019068,175,0.3654209,0.1
473,23663,50.02748,0.2991543,175,0.3656068,0.1
474,23692,49.98312,0.3132911,175,0.3661401,0.1
475,23722,49.94105,0.3336842,175,0.3662882,0.1
476,23751,49.89706,0.3476891,175,0.365877,0.1
477,23778,49.84906,0.3658281,175,0.3657487,0.1
478,23803,49.79707,0.3211297,175,0.3657463,0.1
479,23832,49.75365,0.3016701,175,0.3653427,0.1
480,23861,49.71041,0.265625,175,0.3657653,0.1
481,23890,49.66736,0.2796258,175,0.3653426,0.1
482,23920,49.62656,0.2665975,175,0.3651685,0.1
483,23947,49.57971,0.2349896,175,0.3647609,0.1
484,23976,49.53719,0.232438,175,0.3643491,0.1
485,24005,49.49485,0.2134021,175,0.3642617,0.1
486,24034,49.45267,0.2273663,175,0.3639131,0.1
487,24063,49.41068,0.2412731,175,0.3637895,0.1
488,24092,49.36885,0.255123,175,0.3638411,0.1
489,24120,49.32515,0.2300614,175,0.3642291,0.1
490,24149,49.28367,0.2112245,175,0.3643813,0.1
491,24177,49.24033,0.2678208,175,0.3633278,0.1
492,24205,49.19715,0.2428862,175,0.3633915,0.1
