TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
421,18308,43.48693,-1.194774,93,0.3357775
422,18334,43.4455,-1.196682,93,0.3359263
423,18360,43.40425,-1.160756,93,0.3356957
424,18387,43.36557,-1.174528,93,0.3357328
425,18413,43.32471,-1.12,93,0.3355075
426,18440,43.28638,-1.058685,93,0.3357698
427,18466,43.2459,-1.004684,93,0.3357692
428,18492,43.20561,-0.9883177,93,0.3358021
429,18517,43.16317,-1.034965,93,0.335544
430,18543,43.12326,-1,93,0.3353365
431,18570,43.08585,-1.013921,93,0.3349721
432,18596,43.0463,-0.9976852,93,0.3350793
433,18622,43.00693,-1.018476,93,0.3345099
434,18649,42.97005,-1.069124,93,0.3344117
435,18675,42.93103,-1.052874,93,0.3346434
436,18701,42.8922,-1.018349,93,0.3345973
437,18728,42.85583,-0.9771167,93,0.3349272
438,18754,42.81735,-0.9429224,93,0.3346767
439,18780,42.77905,-0.9635535,93,0.3345117
440,18805,42.73864,-0.9545454,93,0.3347939
441,18830,42.69841,-0.9274377,93,0.334534
442,18854,42.65611,-0.8529412,93,0.3340311
443,18880,42.61851,-0.8916479,93,0.3340938
444,18906,42.58108,-0.9121622,93,0.3340649
445,18932,42.54382,-0.8966292,93,0.3342699
446,18958,42.50673,-0.8991032,93,0.3343242
447,18983,42.46756,-0.9261745,93,0.3338056
448,19009,42.43081,-0.8470982,93,0.3341519
449,19032,42.38753,-0.8340757,93,0.3343382
450,19057,42.34889,-0.8788889,93,0.3338869
451,19082,42.31042,-0.8880266,93,0.3337336
452,19108,42.27434,-0.925885,93,0.3341751
453,19133,42.2362,-0.9701987,93,0.3333957
454,19159,42.20044,-1.007709,93,0.3334837
455,19184,42.16264,-0.9813187,93,0.3330077
456,19210,42.12719,-1.001096,93,0.3332494
457,19235,42.08971,-1.044858,93,0.3333146
458,19260,42.0524,-1.036026,93,0.333678
459,19286,42.01743,-1.020697,93,0.3335708
460,19311,41.98043,-1.029348,93,0.3334937
461,19337,41.94577,-1.031453,93,0.3331735
462,19362,41.90909,-1.005411,93,0.3336508
463,19388,41.87473,-1.059395,93,0.3337053
464,19410,41.8319,-1.070043,93,0.3332902
465,19434,41.79355,-1.033333,93,0.3330145
466,19459,41.75751,-1.059013,93,0.3324885
467,19483,41.71949,-1.039615,93,0.3325753
468,19508,41.68376,-0.9967949,93,0.3324002
469,19532,41.64606,-1.028785,93,0.3325961
470,19556,41.60851,-1.043617,93,0.3327021
471,19580,41.57113,-1.075372,93,0.3322276
472,19605,41.53602,-1.01589,93,0.3316846
473,19630,41.50106,-1.05814,93,0.3317971
474,19654,41.46413,-0.971519,93,0.3318517
475,19679,41.42947,-0.9631579,93,0.3311614
476,19703,41.39286,-0.9947479,93,0.3311822
477,19728,41.35849,-1.003145,93,0.3312992
478,19752,41.32217,-1.034519,93,0.3314143
479,19777,41.2881,-1.042797,93,0.3314803
480,19801,41.25208,-1.057292,93,0.3310306
481,19825,41.21622,-1.005198,93,0.3312723
482,19850,41.18257,-1.013485,93,0.3311892
483,19874,41.147,-0.994824,93,0.3312885
484,19899,41.11364,-0.9700413,93,0.3308679
485,19922,41.07629,-0.9412371,93,0.3309163
486,19946,41.04115,-0.9557613,93,0.3304579
487,19970,41.00616,-0.8552361,93,0.3307045
488,19994,40.97131,-0.869877,93,0.3302102
489,20018,40.9366,-0.8680981,93,0.3304993
490,20041,40.9,-0.8397959,93,0.3306532
491,20064,40.86354,-0.8441955,93,0.3303984
492,20088,40.82927,-0.875,93,0.3302692
493,20110,40.79108,-0.7880325,93,0.3304856
494,20135,40.75911,-0.7803644,93,0.3300099
495,20160,40.72727,-0.8050505,93,0.3297827
496,20184,40.69355,-0.8034274,93,0.3297912
497,20209,40.66197,-0.8279678,93,0.3297006
498,20232,40.62651,-0.8805221,93,0.330129
499,20257,40.59519,-0.8406814,93,0.3301883
500,20283,40.566,-0.875,93,0.3303611
501,20309,40.53693,-0.9411178,93,0.3307638
502,20334,40.50598,-0.9492032,93,0.3307864
503,20360,40.47714,-0.9194831,93,0.3308274
504,20382,40.44048,-0.9136904,93,0.3308992
505,20408,40.41188,-0.9633663,93,0.3311142
506,20433,40.38142,-0.9081028,93,0.3310419
507,20459,40.35306,-0.9418146,93,0.3313605
508,20484,40.32283,-0.9183071,93,0.3314148
509,20510,40.2947,-0.888998,93,0.331046
510,20535,40.26471,-0.8656863,93,0.3306974
511,20560,40.23483,-0.8737769,93,0.3306791
512,20582,40.19922,-0.9306641,93,0.3302379
513,20608,40.17154,-0.917154,93,0.3303884
514,20631,40.13813,-0.8657588,93,0.330013
515,20657,40.11068,-0.8524272,93,0.3298022
516,20682,40.08139,-0.7984496,93,0.3301292
517,20707,40.05222,-0.7601547,93,0.3298812
518,20730,40.01931,-0.7644787,93,0.3297521
519,20753,39.98651,-0.7842004,93,0.3296319
520,20777,39.95577,-0.7673077,93,0.3295361
521,20800,39.92323,-0.7715931,93,0.3296133
522,20824,39.89272,-0.770115,93,0.3297034
523,20848,39.86233,-0.7533461,93,0.3291611
524,20871,39.83015,-0.7270992,93,0.3293224
525,20895,39.8,-0.6647619,93,0.3289419
526,20918,39.76806,-0.6996198,93,0.3293687
527,20941,39.73624,-0.6888046,93,0.3295279
528,20963,39.70265,-0.6903409,93,0.3295653
529,20987,39.67297,-0.7041588,93,0.3296244
530,21010,39.64151,-0.6632075,93,0.3296425
531,21034,39.61205,-0.6468927,93,0.3292305
532,21057,39.58083,-0.6663534,93,0.3291906
533,21080,39.54972,-0.6407129,93,0.3294061
534,21103,39.51873,-0.6001872,93,0.329191
535,21126,39.48785,-0.5897197,93,0.3286734
536,21150,39.45895,-0.5886194,93,0.3288741
537,21173,39.42831,-0.5931098,93,0.3286492
538,21197,39.39963,-0.5473978,93,0.3290246
539,21220,39.3692,-0.5222635,93,0.3288034
540,21244,39.34074,-0.5064815,93,0.328786
541,21268,39.31239,-0.5499076,93,0.3290889
542,21291,39.28229,-0.554428,93,0.3291564
543,21314,39.2523,-0.5736648,93,0.3290778
544,21337,39.22243,-0.578125,93,0.3287711
545,21360,39.19266,-0.5972477,93,0.3285019
546,21383,39.163,-0.5869963,93,0.3283905
547,21406,39.13345,-0.5329068,93,0.3286256
548,21428,39.10219,-0.5574818,93,0.3281795
549,21450,39.07104,-0.5236794,93,0.3279487
550,21473,39.04182,-0.5572727,93,0.3277797
551,21496,39.0127,-0.6343012,93,0.3276267
552,21519,38.9837,-0.6385869,93,0.3272489
553,21540,38.95118,-0.6826401,93,0.327102
554,21562,38.92058,-0.7355596,93,0.3265866
555,21585,38.89189,-0.7396396,93,0.3264638
556,21608,38.86331,-0.743705,93,0.3261571
557,21630,38.83303,-0.7387792,93,0.3258143
558,21653,38.80466,-0.7428315,93,0.3252872
559,21676,38.77639,-0.7325581,93,0.3251919
560,21699,38.74821,-0.7223215,93,0.3245033
561,21721,38.71836,-0.7602496,93,0.3241769
562,21743,38.68861,-0.7553381,93,0.3239289
563,21766,38.66075,-0.7877442,93,0.323919
564,21789,38.63298,-0.7916667,93,0.3237622
565,21811,38.60354,-0.8150442,93,0.3235613
566,21834,38.57597,-0.8047703,93,0.3232985
567,21857,38.5485,-0.7804233,93,0.3231204
568,21880,38.52113,-0.756162,93,0.3232822
569,21902,38.49209,-0.7513181,93,0.3229915
570,21925,38.46491,-0.7552631,93,0.3230155
571,21948,38.43783,-0.7311734,93,0.3231473
572,21970,38.40909,-0.7124126,93,0.3232481
573,21993,38.3822,-0.7164049,93,0.3232517
574,22015,38.35366,-0.6977352,93,0.3233672
575,22038,38.32696,-0.6739131,93,0.3228611
