TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
382,20455,53.54712,-5.787958,116,2.390835,0.1
383,20488,53.49347,-5.681462,116,2.385295,0.1
384,20520,53.4375,-5.708333,116,2.385043,0.1
385,20552,53.38182,-5.651948,116,2.381784,0.1
386,20585,53.32901,-5.567358,116,2.382408,0.1
387,20617,53.2739,-5.511628,116,2.381687,0.1
388,20649,53.21907,-5.600515,116,2.387465,0.1
389,20680,53.16195,-5.696658,116,2.389388,0.1
390,20712,53.10769,-5.723077,116,2.38923,0.1
391,20745,53.05627,-5.762148,116,2.389237,0.1
392,20776,53,-5.795918,116,2.39319,0.1
393,20809,52.94911,-5.793893,116,2.39399,0.1
394,20836,52.88325,-5.77665,116,2.392027,0.1
395,20868,52.83038,-5.822785,116,2.393957,0.1
396,20899,52.77525,-5.856061,116,2.393585,0.1
397,20930,52.7204,-5.828715,116,2.393653,0.1
398,20961,52.66583,-5.821608,116,2.390697,0.1
399,20993,52.61404,-5.867168,116,2.389185,0.1
400,21025,52.5625,-5.8325,116,2.389668,0.1
401,21049,52.49127,-5.812968,116,2.387707,0.1
402,21060,52.38806,-5.865672,116,2.384821,0.1
403,21072,52.28784,-6,116,2.377765,0.1
404,21100,52.22772,-5.955446,116,2.374413,0.1
405,21127,52.16543,-5.958025,116,2.371989,0.1
406,21156,52.10838,-5.8867,116,2.36937,0.1
407,21185,52.0516,-5.894349,116,2.370702,0.1
408,21215,51.99755,-5.973039,116,2.373384,0.1
409,21246,51.94621,-5.96577,116,2.373331,0.1
410,21276,51.89268,-5.926829,116,2.372299,0.1
411,21306,51.83942,-5.810219,116,2.370975,0.1
412,21337,51.78883,-5.667476,116,2.370037,0.1
413,21367,51.73608,-5.610169,116,2.367823,0.1
414,21397,51.68357,-5.591787,116,2.365784,0.1
415,21427,51.63132,-5.554217,116,2.364651,0.1
416,21457,51.57933,-5.516827,116,2.361384,0.1
417,21487,51.52758,-5.498801,116,2.360644,0.1
418,21517,51.47608,-5.519139,116,2.36367,0.1
419,21548,51.42721,-5.398568,116,2.356826,0.1
420,21579,51.37857,-5.373809,116,2.359053,0.1
421,21610,51.33017,-5.387173,116,2.360368,0.1
422,21640,51.27962,-5.293839,116,2.362431,0.1
423,21671,51.23168,-5.250591,116,2.362027,0.1
424,21701,51.1816,-5.252358,116,2.361422,0.1
425,21731,51.13176,-5.254117,116,2.362894,0.1
426,21762,51.08451,-5.248827,116,2.363761,0.1
427,21790,51.03045,-5.302108,116,2.36621,0.1
428,21820,50.98131,-5.32243,116,2.36738,0.1
429,21850,50.9324,-5.305361,116,2.370103,0.1
430,21880,50.88372,-5.288372,116,2.371695,0.1
431,21910,50.83527,-5.271461,116,2.368716,0.1
432,21940,50.78704,-5.236111,116,2.366319,0.1
